event_id,user_id,event_time,event_type,event_detail,level_id,result,duration
1,11635,2025-04-12 18:35:16,LEVEL_COMPLETE,"Completed with score 3265, stars: 3",43,SUCCESS,208
2,11702,2025-04-01 01:44:23,LEVEL_START,Started level 27,27,,0
3,10665,2025-04-13 22:26:14,LEVEL_START,Started level 66,66,,0
4,11967,2025-04-11 08:08:29,LEVEL_COMPLETE,"Completed with score 7518, stars: 1",62,SUCCESS,41
5,11966,2025-03-31 04:18:18,LEVEL_START,Started level 43,43,,0
6,11287,2025-04-10 10:03:27,LEVEL_FAIL,Failed at 40% progress,17,FAIL,192
7,10587,2025-03-31 04:40:18,LEVEL_START,Started level 19,19,,0
8,11778,2025-04-16 10:37:18,ITEM_USE,Used item: POWER_BOOST,47,,4
9,12010,2025-04-03 19:40:45,LEVEL_START,Started level 93,93,,0
10,10772,2025-03-27 17:27:33,LEVEL_START,Started level 51,51,,0
11,11376,2025-04-19 01:22:48,LEVEL_START,Started level 93,93,,0
12,12975,2025-04-15 11:32:02,LEVEL_FAIL,Failed at 70% progress,23,FAIL,280
13,12996,2025-03-26 23:31:45,LEVEL_START,Started level 35,35,,0
14,10811,2025-04-10 22:00:48,ITEM_USE,Used item: SHIELD,91,,5
15,11451,2025-04-13 09:58:38,LEVEL_START,Started level 24,24,,0
16,12420,2025-04-19 06:02:19,LEVEL_START,Started level 7,7,,0
17,10552,2025-04-01 22:11:17,LEVEL_COMPLETE,"Completed with score 6316, stars: 2",29,SUCCESS,170
18,11506,2025-03-29 11:03:42,LEVEL_START,Started level 56,56,,0
19,12067,2025-04-14 16:28:29,LEVEL_START,Started level 23,23,,0
20,11475,2025-04-11 20:37:05,LEVEL_COMPLETE,"Completed with score 1643, stars: 1",43,SUCCESS,299
21,10079,2025-03-29 11:32:42,LEVEL_FAIL,Failed at 31% progress,4,FAIL,254
22,10189,2025-04-14 03:06:32,LEVEL_COMPLETE,"Completed with score 4437, stars: 2",72,SUCCESS,105
23,10577,2025-03-31 10:45:02,LEVEL_START,Started level 38,38,,0
24,11985,2025-04-05 15:08:19,LEVEL_START,Started level 79,79,,0
25,12887,2025-03-30 23:36:10,LEVEL_COMPLETE,"Completed with score 4306, stars: 2",35,SUCCESS,279
26,12393,2025-03-28 21:27:30,LEVEL_START,Started level 90,90,,0
27,11919,2025-04-16 00:44:15,LEVEL_COMPLETE,"Completed with score 7772, stars: 1",99,SUCCESS,226
28,11275,2025-04-04 10:41:57,LEVEL_START,Started level 95,95,,0
29,12905,2025-04-08 21:07:17,ITEM_USE,Used item: POWER_BOOST,88,,3
30,10109,2025-04-19 10:49:53,ACHIEVEMENT,Earned achievement: SPEED_MASTER,50,,0
31,10165,2025-04-17 08:13:55,LEVEL_START,Started level 8,8,,0
32,12423,2025-04-05 03:08:08,LEVEL_COMPLETE,"Completed with score 2755, stars: 1",43,SUCCESS,296
33,12051,2025-04-09 12:20:04,LEVEL_START,Started level 31,31,,0
34,10827,2025-04-13 23:55:08,LEVEL_COMPLETE,"Completed with score 7265, stars: 1",53,SUCCESS,58
35,11937,2025-04-16 16:36:14,LEVEL_START,Started level 20,20,,0
36,12579,2025-04-06 15:19:20,ITEM_USE,Used item: EXTRA_LIFE,22,,4
37,11743,2025-04-22 18:05:05,LEVEL_COMPLETE,"Completed with score 5859, stars: 3",44,SUCCESS,276
38,10596,2025-04-19 19:20:58,LEVEL_START,Started level 3,3,,0
39,11447,2025-03-29 05:51:57,LEVEL_FAIL,Failed at 23% progress,43,FAIL,71
40,10183,2025-04-11 14:18:03,LEVEL_START,Started level 67,67,,0
41,10404,2025-04-21 14:02:38,LEVEL_FAIL,Failed at 20% progress,19,FAIL,232
42,10454,2025-03-31 18:35:16,LEVEL_START,Started level 95,95,,0
43,12268,2025-03-27 06:08:57,LEVEL_START,Started level 70,70,,0
44,12524,2025-04-23 01:04:59,LEVEL_COMPLETE,"Completed with score 2047, stars: 2",76,SUCCESS,40
45,10923,2025-03-28 10:25:36,LEVEL_FAIL,Failed at 34% progress,58,FAIL,275
46,12698,2025-04-01 12:42:10,LEVEL_FAIL,Failed at 43% progress,29,FAIL,275
47,11008,2025-04-22 13:22:53,LEVEL_START,Started level 44,44,,0
48,11018,2025-04-15 00:44:29,LEVEL_START,Started level 56,56,,0
49,11162,2025-04-06 18:39:19,LEVEL_START,Started level 19,19,,0
50,11401,2025-04-01 02:46:29,LEVEL_COMPLETE,"Completed with score 2792, stars: 1",7,SUCCESS,158
51,12115,2025-04-11 07:07:21,LEVEL_FAIL,Failed at 57% progress,14,FAIL,122
52,10131,2025-03-24 19:27:02,LEVEL_START,Started level 17,17,,0
53,12395,2025-03-31 12:02:08,LEVEL_START,Started level 9,9,,0
54,11245,2025-03-26 19:35:01,LEVEL_START,Started level 13,13,,0
55,10906,2025-03-31 02:16:31,LEVEL_START,Started level 89,89,,0
56,11508,2025-03-31 22:26:37,ACHIEVEMENT,Earned achievement: COMBO_MASTER,45,,0
57,11049,2025-03-30 09:00:16,LEVEL_START,Started level 2,2,,0
58,11515,2025-04-04 07:09:31,LEVEL_START,Started level 13,13,,0
59,10422,2025-04-13 18:46:06,LEVEL_COMPLETE,"Completed with score 8779, stars: 2",28,SUCCESS,46
60,10021,2025-03-26 09:51:23,LEVEL_START,Started level 87,87,,0
61,12574,2025-04-01 02:05:47,LEVEL_START,Started level 68,68,,0
62,11970,2025-03-28 19:18:52,LEVEL_COMPLETE,"Completed with score 7876, stars: 3",54,SUCCESS,271
63,10984,2025-04-01 03:42:19,LEVEL_FAIL,Failed at 35% progress,27,FAIL,37
64,10915,2025-04-17 19:42:54,LEVEL_START,Started level 17,17,,0
65,10684,2025-03-26 03:21:37,LEVEL_START,Started level 74,74,,0
66,11490,2025-04-22 16:13:54,LEVEL_COMPLETE,"Completed with score 2634, stars: 1",51,SUCCESS,166
67,10084,2025-03-29 14:28:28,LEVEL_START,Started level 17,17,,0
68,10056,2025-04-19 12:44:29,LEVEL_FAIL,Failed at 34% progress,53,FAIL,106
69,10209,2025-04-04 23:47:52,LEVEL_COMPLETE,"Completed with score 8579, stars: 3",25,SUCCESS,296
70,10885,2025-04-21 09:26:54,LEVEL_COMPLETE,"Completed with score 2278, stars: 2",89,SUCCESS,147
71,10875,2025-04-06 08:16:21,LEVEL_START,Started level 31,31,,0
72,12844,2025-03-29 05:24:50,LEVEL_COMPLETE,"Completed with score 7210, stars: 1",14,SUCCESS,61
73,11970,2025-04-11 00:11:40,LEVEL_COMPLETE,"Completed with score 6453, stars: 3",22,SUCCESS,192
74,11101,2025-03-26 07:26:33,LEVEL_START,Started level 32,32,,0
75,11656,2025-03-26 06:48:45,LEVEL_START,Started level 35,35,,0
76,12764,2025-03-26 16:29:11,LEVEL_FAIL,Failed at 86% progress,81,FAIL,152
77,10038,2025-04-05 19:18:35,LEVEL_START,Started level 21,21,,0
78,12024,2025-04-10 23:26:25,LEVEL_COMPLETE,"Completed with score 6680, stars: 3",2,SUCCESS,278
79,11741,2025-04-06 03:44:53,LEVEL_START,Started level 47,47,,0
80,10037,2025-04-21 16:32:14,LEVEL_FAIL,Failed at 32% progress,81,FAIL,280
81,11156,2025-03-31 19:08:35,LEVEL_START,Started level 31,31,,0
82,12560,2025-04-07 07:02:19,LEVEL_START,Started level 36,36,,0
83,11538,2025-03-24 20:48:33,LEVEL_START,Started level 45,45,,0
84,10026,2025-03-26 19:37:41,LEVEL_START,Started level 2,2,,0
85,10628,2025-03-28 13:35:51,LEVEL_FAIL,Failed at 50% progress,80,FAIL,272
86,12949,2025-04-19 23:32:42,LEVEL_START,Started level 87,87,,0
87,10770,2025-04-06 17:24:10,LEVEL_FAIL,Failed at 15% progress,33,FAIL,46
88,12167,2025-04-12 00:16:34,LEVEL_FAIL,Failed at 84% progress,50,FAIL,126
89,12849,2025-04-13 16:08:11,LEVEL_COMPLETE,"Completed with score 7047, stars: 3",64,SUCCESS,125
90,12173,2025-04-21 18:18:55,LEVEL_START,Started level 60,60,,0
91,12572,2025-04-20 06:29:21,LEVEL_START,Started level 5,5,,0
92,12327,2025-04-01 18:52:26,LEVEL_START,Started level 30,30,,0
93,10300,2025-03-30 18:32:22,LEVEL_FAIL,Failed at 79% progress,60,FAIL,252
94,12811,2025-04-08 20:41:12,LEVEL_START,Started level 68,68,,0
95,11432,2025-03-27 09:55:23,LEVEL_FAIL,Failed at 88% progress,17,FAIL,68
96,11816,2025-03-25 22:13:40,LEVEL_START,Started level 1,1,,0
97,10905,2025-04-12 16:33:21,LEVEL_COMPLETE,"Completed with score 3327, stars: 1",2,SUCCESS,157
98,12230,2025-04-10 03:25:09,LEVEL_START,Started level 42,42,,0
99,12327,2025-03-27 23:41:25,LEVEL_START,Started level 15,15,,0
100,12768,2025-04-09 22:46:26,LEVEL_FAIL,Failed at 26% progress,56,FAIL,82
101,10534,2025-04-06 12:45:41,LEVEL_FAIL,Failed at 30% progress,81,FAIL,240
102,10397,2025-04-20 13:32:33,LEVEL_COMPLETE,"Completed with score 5407, stars: 3",2,SUCCESS,41
103,11113,2025-04-20 13:14:35,LEVEL_START,Started level 23,23,,0
104,12225,2025-04-13 14:05:35,LEVEL_START,Started level 27,27,,0
105,12897,2025-04-22 19:10:35,LEVEL_COMPLETE,"Completed with score 3277, stars: 3",10,SUCCESS,217
106,10318,2025-04-19 13:20:44,ACHIEVEMENT,Earned achievement: SPEED_MASTER,26,,0
107,11458,2025-04-20 00:37:31,LEVEL_COMPLETE,"Completed with score 7996, stars: 3",24,SUCCESS,117
108,12275,2025-04-17 02:19:41,LEVEL_COMPLETE,"Completed with score 8750, stars: 2",53,SUCCESS,43
109,12338,2025-04-01 15:25:01,LEVEL_COMPLETE,"Completed with score 5693, stars: 3",48,SUCCESS,285
110,10824,2025-04-05 02:11:27,LEVEL_START,Started level 60,60,,0
111,12890,2025-03-31 08:22:50,LEVEL_START,Started level 59,59,,0
112,11376,2025-04-04 01:37:20,LEVEL_COMPLETE,"Completed with score 2378, stars: 1",43,SUCCESS,105
113,10014,2025-03-31 06:30:30,ITEM_USE,Used item: EXTRA_LIFE,27,,1
114,12633,2025-04-03 10:25:07,ITEM_USE,Used item: COIN_MULTIPLIER,57,,5
115,10442,2025-04-04 06:19:34,LEVEL_COMPLETE,"Completed with score 8956, stars: 1",82,SUCCESS,40
116,11318,2025-04-21 18:43:53,ACHIEVEMENT,Earned achievement: FIRST_WIN,17,,0
117,11383,2025-03-29 22:38:38,ITEM_USE,Used item: COIN_MULTIPLIER,40,,4
118,12198,2025-03-25 17:59:11,ITEM_USE,Used item: SHIELD,95,,5
119,11592,2025-04-15 11:41:17,LEVEL_START,Started level 77,77,,0
120,12160,2025-04-05 03:50:55,LEVEL_START,Started level 42,42,,0
121,12544,2025-03-25 21:48:16,LEVEL_START,Started level 17,17,,0
122,12305,2025-04-04 14:19:27,LEVEL_START,Started level 36,36,,0
123,11873,2025-04-12 07:47:13,LEVEL_START,Started level 51,51,,0
124,12897,2025-04-15 04:19:39,LEVEL_START,Started level 77,77,,0
125,10618,2025-04-13 14:37:20,ITEM_USE,Used item: EXTRA_LIFE,42,,3
126,11973,2025-04-10 05:32:56,LEVEL_START,Started level 33,33,,0
127,12405,2025-04-13 22:09:29,LEVEL_FAIL,Failed at 40% progress,44,FAIL,245
128,12582,2025-04-05 20:11:39,LEVEL_START,Started level 5,5,,0
129,11854,2025-04-02 04:43:01,LEVEL_START,Started level 98,98,,0
130,10049,2025-04-07 15:47:59,LEVEL_START,Started level 16,16,,0
131,12828,2025-04-08 22:18:56,LEVEL_FAIL,Failed at 31% progress,91,FAIL,206
132,10033,2025-04-13 11:20:39,LEVEL_START,Started level 67,67,,0
133,12436,2025-03-27 09:43:24,LEVEL_START,Started level 82,82,,0
134,12550,2025-04-13 18:35:25,LEVEL_START,Started level 95,95,,0
135,11786,2025-03-29 00:03:36,LEVEL_START,Started level 93,93,,0
136,10164,2025-04-11 22:15:52,LEVEL_COMPLETE,"Completed with score 5269, stars: 3",9,SUCCESS,133
