progress_id,user_id,level,experience,game_coins,diamonds,update_time,total_play_time
1,10000,27,7326,197525,952,2025-04-23 05:55:16,21219
2,10001,36,13728,288047,575,2025-04-22 21:16:16,22267
3,10002,28,10598,361065,290,2025-04-23 09:05:16,28739
4,10003,30,9240,247786,329,2025-04-23 06:28:16,24660
5,10004,38,18711,386766,351,2025-04-22 20:47:16,31803
6,10005,38,2678,518651,553,2025-04-23 02:06:16,52229
7,10006,47,47462,623602,629,2025-04-23 10:06:16,61221
8,10007,22,927,155249,115,2025-04-23 08:16:16,11870
9,10008,49,38048,757371,2826,2025-04-23 10:48:16,72941
10,10009,29,7963,180898,147,2025-04-22 19:28:16,15548
11,10010,27,2277,123731,124,2025-04-22 21:05:16,8151
12,10011,36,23620,360715,1728,2025-04-22 23:16:16,32163
13,10012,46,13514,653688,8758,2025-04-22 15:25:16,73108
14,10013,13,2724,58811,106,2025-04-23 09:41:16,4357
15,10014,48,28430,725930,655,2025-04-22 18:24:16,65832
16,10015,45,37388,648560,3513,2025-04-23 10:45:16,62931
17,10016,24,6413,213933,408,2025-04-22 23:03:16,18760
18,10017,40,35289,457944,1546,2025-04-22 22:07:16,36674
19,10018,10,1114,26936,89,2025-04-23 09:18:16,1772
20,10019,44,18331,1150974,2418,2025-04-22 17:41:16,95693
21,10020,17,84,67280,321,2025-04-23 07:51:16,5646
22,10021,30,11925,353228,787,2025-04-23 08:58:16,35061
23,10022,48,42160,630369,1729,2025-04-23 11:19:16,71515
24,10023,28,9063,331879,1742,2025-04-23 00:49:16,28432
25,10024,28,2923,106801,145,2025-04-23 12:42:16,9068
26,10025,45,584,633997,534,2025-04-23 13:53:16,51312
27,10026,29,2243,321483,321,2025-04-22 15:21:16,24960
28,10027,46,56692,648776,2746,2025-04-22 22:24:16,65182
29,10028,40,27721,489993,1763,2025-04-23 05:50:16,42654
30,10029,20,5584,131718,300,2025-04-22 21:49:16,12350
31,10030,45,66896,515151,2943,2025-04-22 15:23:16,52312
32,10031,39,9461,379999,565,2025-04-22 20:12:16,40979
33,10032,41,26700,397869,1733,2025-04-23 10:30:16,42786
34,10033,36,7445,544154,3442,2025-04-23 04:27:16,61091
35,10034,34,1534,236941,175,2025-04-23 01:54:16,18915
36,10035,43,42140,420510,1016,2025-04-22 23:26:16,42228
37,10036,21,5837,154186,488,2025-04-23 11:52:16,13746
38,10037,47,21992,587505,1425,2025-04-22 21:05:16,59523
39,10038,19,3569,69197,165,2025-04-22 18:18:16,5362
40,10039,47,50732,685373,770,2025-04-23 13:38:16,61439
41,10040,35,22292,268382,295,2025-04-22 21:38:16,24350
42,10041,49,12968,1163359,2354,2025-04-23 09:21:16,97185
43,10042,38,31291,604760,512,2025-04-23 03:25:16,49277
44,10043,36,12678,272049,275,2025-04-22 14:49:16,22192
45,10044,22,3417,84638,70,2025-04-22 23:02:16,5670
46,10045,43,31836,440222,518,2025-04-23 13:58:16,47932
47,10046,38,9355,477880,988,2025-04-23 12:33:16,37228
