transaction_id,user_id,transaction_time,amount,payment_method,currency,item_id,item_name,item_type
1,10780,2025-04-02 02:55:45,7370.99,微信支付,CNY,5666,日用品,电商
2,11009,2025-03-15 19:21:32,220.78,支付宝,CNY,8455,月度会员,会员
3,10537,2025-03-20 17:53:19,1663.28,支付宝,CNY,1361,超级会员,会员
4,12571,2025-01-21 12:22:59,3995.86,Apple Pay,CNY,2902,座驾,直播
5,11171,2025-03-23 08:34:05,8058.49,云闪付,CNY,9197,日用品,电商
6,10815,2024-02-23 02:20:18,1813.72,支付宝,HKD,9523,超级会员,会员
7,10739,2025-02-21 11:20:25,236.93,支付宝,HKD,8214,游戏点券,游戏
8,11475,2024-12-05 18:42:13,11934.79,银行卡,USD,1801,年度会员,会员
9,10203,2025-03-27 15:57:22,5850.92,微信支付,CNY,6578,服装,电商
10,10336,2024-07-26 20:18:31,656.27,Apple Pay,CNY,3076,游戏点券,游戏
11,12421,2023-11-05 18:48:28,2951.06,微信支付,CNY,2373,主播贡献,直播
12,11357,2025-04-08 18:53:56,2818.44,微信支付,USD,2497,装备,游戏
13,10995,2023-12-20 16:47:28,8305.77,支付宝,CNY,8582,食品,电商
14,12842,2023-12-15 23:16:34,483.53,微信支付,CNY,7562,年度会员,会员
15,12298,2025-03-29 22:30:42,2800.41,微信支付,CNY,8403,服装,电商
16,12267,2025-04-14 10:55:23,2017.46,微信支付,CNY,1365,主播贡献,直播
17,11977,2024-11-18 06:49:17,4459.46,银行卡,USD,2015,装备,游戏
18,11611,2024-09-22 15:46:09,7286.42,云闪付,CNY,5593,日用品,电商
19,12854,2025-01-12 00:05:50,893.73,支付宝,HKD,8442,游戏点券,游戏
20,10383,2024-06-05 13:56:53,4675.19,支付宝,CNY,2058,弹幕特效,直播
21,11570,2024-10-20 05:14:16,252.68,支付宝,CNY,9171,超级会员,会员
22,10146,2025-03-06 09:13:15,7153.47,Apple Pay,CNY,4176,食品,电商
23,10084,2023-12-24 01:19:29,1047.68,Apple Pay,CNY,7229,月度会员,会员
