login_id,user_id,login_time,logout_time,session_length,ip_address,device_id
1,11635,2025-04-12 18:11:28.261603,2025-04-12 18:59:48.261603,2900,81.154.20.149,971e3c6c-ad98-482e-b9ee-046cfe13a7e0
2,11702,2025-03-31 22:07:33.685059,2025-04-01 01:57:00.685059,13767,70.143.71.233,3bb356cf-0769-43c1-bd4e-a9f9ec8e0f8e
3,10665,2025-04-13 21:01:39.071400,2025-04-13 23:48:22.071400,10003,210.200.51.240,a6dc7d61-5229-4c02-9ed4-9ba0b534cd39
4,11967,2025-04-11 06:57:30.592268,2025-04-11 08:20:52.592268,5002,69.255.26.86,b840c1bc-739e-453a-9449-63172108ecd4
5,11966,2025-03-31 03:13:23.630691,2025-03-31 05:01:47.630691,6504,8.108.176.251,7e6a40af-278d-47dc-9584-c8fd9d874286
6,11287,2025-04-10 09:54:01.203137,2025-04-10 10:20:55.203137,1614,189.108.180.212,6df4254e-e202-4da5-ac02-c390a84e8cc1
7,10587,2025-03-31 04:31:16.092330,2025-03-31 06:45:07.092330,8031,128.106.121.199,0189a81f-9674-479d-832e-c36d68a214f2
8,11778,2025-04-16 08:08:42.695600,2025-04-16 11:45:46.695600,13024,110.195.7.81,6c14af8a-e46e-424f-91c4-a8758bca9807
9,12010,2025-04-03 18:47:03.338815,2025-04-03 21:26:27.338815,9564,109.98.176.247,b3f6a16b-423c-43bb-b727-e6b4c60c9cea
10,10772,2025-03-27 15:23:43.036739,2025-03-27 18:09:55.036739,9972,54.249.132.163,674ae328-294b-4e22-bb25-4e277d404645
11,11376,2025-04-18 23:59:59.397573,2025-04-19 02:02:41.397573,7362,130.199.228.88,f369d442-f4c7-4d4a-b785-323922e9b642
12,12975,2025-04-15 11:12:38.791110,2025-04-15 14:19:30.791110,11212,7.7.61.8,7430a0ba-357a-4019-92e7-03f7283a6280
13,12996,2025-03-26 22:32:24.113419,2025-03-27 02:17:44.113419,13520,55.37.7.60,2fd35146-bf3a-418b-92cd-40bfab964a4f
14,10811,2025-04-10 21:29:50.760505,2025-04-11 00:09:13.760505,9563,130.238.201.102,a0961424-afb6-4d42-831e-ce86f5e23d5b
15,11451,2025-04-13 09:54:48.521728,2025-04-13 09:59:51.521728,303,178.141.167.230,7103e93f-ee30-42f4-a64c-58981eab1637
16,12420,2025-04-19 05:37:57.532871,2025-04-19 06:16:15.532871,2298,220.41.254.122,3e7daef4-7df6-4207-a344-521fd35aaf35
17,10552,2025-04-01 21:56:41.579261,2025-04-01 22:44:44.579261,2883,151.89.105.16,978fb242-af58-4120-a11f-297c06ca4bf9
18,11506,2025-03-29 10:54:53.419829,2025-03-29 11:41:08.419829,2775,49.22.42.33,a030cc9b-7168-48d7-995e-a3ebe7893ab2
19,12067,2025-04-14 15:06:52.252485,2025-04-14 18:04:31.252485,10659,132.145.219.213,c713bfbc-6e59-4dad-959a-db1735941707
20,11475,2025-04-11 20:22:41.566689,2025-04-11 20:51:42.566689,1741,107.234.190.220,2980d879-edb9-4487-868f-19c01749b762
21,10079,2025-03-29 11:27:13.263831,2025-03-29 13:16:21.263831,6548,46.14.44.201,0f032196-a33c-4809-b94c-3807e5e73bda
22,10189,2025-04-14 02:43:34.138566,2025-04-14 03:13:13.138566,1779,170.57.71.204,2ab2cd91-fa9d-49d6-834f-bff8c12869c8
23,10577,2025-03-31 10:43:06.602531,2025-03-31 11:27:11.602531,2645,84.48.97.255,d00dba9d-53c9-444e-9f0d-223b03ba5067
24,11985,2025-04-05 14:38:33.127962,2025-04-05 15:09:24.127962,1851,84.35.174.181,cef5e4b6-8b35-4184-b0b0-3c69e17bc822
25,12887,2025-03-30 22:53:42.002188,2025-03-30 23:58:27.002188,3885,30.174.234.21,4e4ee4cb-4ad1-48e2-bbce-4bcd96828c7e
26,12393,2025-03-28 20:40:17.162426,2025-03-28 23:55:06.162426,11689,80.208.194.47,a4ee47e9-acfd-4297-adb4-449f6bfab879
27,11919,2025-04-15 23:39:13.799803,2025-04-16 00:44:22.799803,3909,28.199.227.146,58e414a6-c57b-4362-8e7b-95dd0c63114e
28,11275,2025-04-04 10:26:28.782106,2025-04-04 11:33:11.782106,4003,198.163.105.181,d8b2a31a-bb9a-4b0c-98b9-e605a0d4989c
29,12905,2025-04-08 20:39:46.153209,2025-04-09 00:04:34.153209,12288,67.3.244.101,4bad0950-2cac-4893-83b9-85ed629537d1
30,10109,2025-04-19 09:47:52.741856,2025-04-19 11:41:36.741856,6824,106.143.73.72,f0d153ee-3821-4b4b-a894-ace53dba449e
31,10165,2025-04-17 08:06:03.712429,2025-04-17 10:10:48.712429,7485,36.16.214.132,787da68c-bbe6-467e-a53f-3ca2a042505a
32,12423,2025-04-05 02:50:10.871860,2025-04-05 04:38:48.871860,6518,157.244.135.128,0039aac6-3341-44e8-b551-2e409ea833d8
33,12051,2025-04-09 10:45:58.382497,2025-04-09 14:32:27.382497,13589,194.11.193.174,4794e091-0b63-426c-a3e2-b976f40212a1
34,10827,2025-04-13 23:36:28.599385,2025-04-14 00:57:52.599385,4884,81.19.169.242,0c2fa8e8-3ca2-4c4d-b99e-3c0cfe7f6647
35,11937,2025-04-16 15:11:41.915048,2025-04-16 17:09:18.915048,7057,50.200.180.194,18ea8f06-7d03-4f05-941a-773869deecd8
36,12579,2025-04-06 14:50:05.529734,2025-04-06 15:26:10.529734,2165,24.109.174.220,20255c5c-e179-4f6e-96ed-f96b2af838fb
37,11743,2025-04-22 17:33:47.952271,2025-04-22 21:06:29.952271,12762,179.103.183.171,4dc44405-2f96-4681-a338-1f57191c3cd3
38,10596,2025-04-19 16:34:38.133017,2025-04-19 19:26:09.133017,10291,44.186.245.162,5912a6bc-b6ba-4d00-84ec-05ff044cac5b
39,11447,2025-03-29 03:50:53.384081,2025-03-29 05:56:25.384081,7532,176.4.175.90,b37fccfd-eddb-4433-abcd-869a9d68ebde
40,10183,2025-04-11 13:02:38.362921,2025-04-11 15:21:03.362921,8305,19.148.107.159,2203ea0b-fab3-4eee-ba68-6166cbf63cbf
41,10404,2025-04-21 10:45:17.613358,2025-04-21 14:13:21.613358,12484,217.215.39.223,50ab6922-cb38-4231-8b56-21f05fb21ba1
42,10454,2025-03-31 18:12:34.388396,2025-03-31 18:56:55.388396,2661,113.66.150.192,6ae725f4-dfbc-4454-8f10-653bb17324f5
43,12268,2025-03-27 03:28:27.747760,2025-03-27 06:13:25.747760,9898,18.54.253.41,63e52be3-0d7b-4744-ba77-85f8f45848be
44,12524,2025-04-22 21:57:09.807612,2025-04-23 01:31:34.807612,12865,10.3.29.117,02a3c0e6-60eb-4268-9d4e-a05adeed8062
45,10923,2025-03-28 10:14:44.675983,2025-03-28 11:39:48.675983,5104,21.72.184.85,293a789a-fa32-42ba-a00b-5b56576fb89a
46,12698,2025-04-01 12:38:40.782213,2025-04-01 12:45:46.782213,426,221.138.88.147,b224b16b-9efa-4bba-ad17-fc6e9f55c49d
47,11008,2025-04-22 12:08:42.652371,2025-04-22 13:28:17.652371,4775,205.155.245.22,07556922-148b-4466-a597-b9b008025336
