user_id,register_time,channel,device_type,os_version,region,gender,age,vip_level
10000,2024-08-03 08:27:32.032336,华为应用市场,Xiaomi,Android 13,上海市,女,59,2
10001,2024-10-16 21:39:58.120852,华为应用市场,VIVO,HarmonyOS 2.0,福建省,男,42,1
10002,2023-10-04 12:21:12.676522,华为应用市场,VIVO,Android 11,河北省,男,22,0
10003,2024-08-30 13:28:35.070738,微信小程序,Samsung,iOS 16,山西省,女,51,0
10004,2024-06-28 15:07:48.745186,小米应用商店,Xiaomi,Android 13,天津市,女,47,0
10005,2023-05-16 07:44:55.224398,小米应用商店,OPPO,iOS 16,浙江省,女,22,0
10006,2023-10-11 09:55:12.867941,小米应用商店,Samsung,HarmonyOS 2.0,上海市,男,47,0
10007,2024-06-07 06:42:53.609664,微信小程序,VIVO,iOS 15,甘肃省,男,34,0
10008,2023-10-02 11:49:15.913351,QQ小程序,iPhone,iOS 15,湖北省,女,51,2
10009,2024-12-05 10:55:22.763584,小米应用商店,Samsung,HarmonyOS 2.0,北京市,男,38,0
10010,2024-10-29 12:00:23.259609,QQ小程序,Samsung,iOS 16,黑龙江省,男,60,0
10011,2024-09-15 05:06:12.920697,微信小程序,OPPO,HarmonyOS 2.0,贵州省,女,59,3
10012,2023-11-13 10:00:26.261914,微信小程序,OPPO,iOS 16,浙江省,男,39,5
10013,2025-03-23 08:04:27.890226,小米应用商店,VIVO,iOS 15,贵州省,男,56,2
10014,2023-07-08 04:25:31.560660,App Store,iPhone,Android 11,云南省,女,24,0
10015,2023-07-04 04:10:20.319640,QQ小程序,Xiaomi,HarmonyOS 2.0,海南省,女,28,3
10016,2024-07-08 06:58:53.250373,微信小程序,Huawei,HarmonyOS 2.0,天津市,男,46,1
10017,2024-10-08 06:36:08.250352,小米应用商店,iPhone,Android 13,吉林省,女,26,2
10018,2025-04-03 22:41:22.465707,QQ小程序,Xiaomi,Android 13,云南省,女,60,2
10019,2023-06-21 02:16:51.093204,华为应用市场,iPhone,HarmonyOS 2.0,河南省,女,54,1
10020,2024-12-20 00:52:15.983765,官网,Xiaomi,Android 12,四川省,男,38,3
10021,2024-06-19 00:54:39.505635,官网,Huawei,Android 12,内蒙古自治区,女,32,1
